Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Owen Otasowie,USA,MFFW,Wolves,Premier League,19,2001,6,2,187,2.1,0,0.48,0.29,0.05,0,1.93,0,21.4,70.3,0,0.95,49.5,1.43,60,31,0,3.33,0.48,0,0
Deyverson,BRA,FW,Alavés,La Liga,29,1991,27,11,874,9.7,0.1,0.31,0.19,0.16,14.3,1.44,0.21,16,50,0.82,2.27,45.7,0.62,40,20.8,0.21,2.58,0.76,0.15,0
Yassine Benzia,ALG,MFFW,Dijon,Ligue 1,25,1994,7,5,407,4.5,0.44,0.22,0.4,0.07,0,0.88,0,34.2,76.6,0.22,3.56,56.9,2.44,68.8,38.9,0.22,3.07,0.53,0.06,0.03
Alex Ferrari,ITA,DF,Sampdoria,Seria A,26,1994,12,11,880,9.8,0,0.1,0,0.04,0,0,0,42.1,85.2,0.1,2.24,60.4,0.1,33.3,32.3,0.1,0.61,0.2,0,0
Francisco Portillo,ESP,MFFW,Getafe,La Liga,30,1990,16,3,418,4.6,0,0.22,0,0.11,0,0,0,44.3,74.5,1.52,6.09,68,1.74,53.3,54.3,0.43,2.39,0.22,0,0
Niko Gießelmann,GER,DF,Union Berlin,Bundesliga,28,1991,13,4,430,4.8,0,0,0.02,0.06,0,0.84,0,33.1,64.1,0.83,5.21,65,0.42,40,31.5,0,1.25,0,0,0
Bridge Ndilu,FRA,MFFW,Nantes,Ligue 1,20,2000,6,0,42,0.5,0,0,0.4,0.2,0,6.43,0,26,61.9,2,4,68,4,50,52,0,4,0,0,0
Christian Gentner,GER,MF,Union Berlin,Bundesliga,34,1985,22,13,1033,11.5,0,0,0.03,0.09,0,0.61,0,32.4,78.9,0.78,4.09,51.2,0.61,63.6,28.7,0.09,1.57,0.09,0,0
Atakan Karazor,GER,DFMF,Stuttgart,Bundesliga,23,1996,19,10,1037,11.5,0,0,0.01,0.01,33.3,0.26,0.09,53.5,87.2,0.09,2.52,73.7,0.61,87.5,44.7,0,0.78,0.09,0,0
Víctor Laguardia,ESP,DF,Alavés,La Liga,30,1989,32,30,2631,29.2,0,0.03,0.04,0.03,37.5,0.27,0.1,27.9,77.7,0.17,1.88,45.6,0,0,22.4,0,0.41,0.07,0,0
Martín Montoya,ESP,DF,Betis,La Liga,29,1991,5,2,239,2.7,0,0,0,0.11,0,0.75,0,46.3,76.7,0.74,3.7,71.1,0.74,50,38.9,0,1.85,0,0,0
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,23,7,800,8.9,0,0,0.04,0.01,20,0.56,0.11,21.9,78.6,0.11,1.35,36.7,0.34,75,14.7,0,1.25,0.07,0,0.04
Juan Sánchez Miño,ARG,DFMF,Elche,La Liga,30,1990,9,5,495,5.5,0,0,0,0,0,0,0,43.8,84.3,0.36,0.73,60.9,1.27,63.6,39.8,0,0.36,0,0,0
Matthijs de Ligt,NED,DF,Juventus,Seria A,20,1999,27,25,2220,24.7,0.04,0.04,0.04,0.02,31.6,0.77,0.24,64.3,93.2,0.28,2.79,77.9,0.2,71.4,54.3,0,1.01,0.2,0,0.04
Wendell,BRA,DF,Leverkusen,Bundesliga,27,1993,22,15,1457,16.2,0,0,0.04,0.01,28.6,0.43,0.12,63.7,86.1,0.74,4.94,87,0.8,59.1,55.9,0.19,0.68,0.12,0,0.06
Jamie Vardy,ENG,FW,Leicester City,Premier League,33,1987,34,31,2840,31.6,0.47,0.28,0.62,0.16,37,2.31,0.86,9.49,66.4,0.35,0.79,22.7,0.98,59.6,12.8,1.08,2.03,0.66,0.09,0.13
