Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
James McCarthy,IRL,MF,Crystal Palace,Premier League,29,43.96118934
Kévin Malcuit,MAR,DF,Fiorentina,Seria A,29,43.94345622
Mamor Niang,SEN,FWMF,Getafe,La Liga,18,43.91691877
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,30,43.83530379
Yordan Osorio,VEN,DF,Parma,Seria A,26,43.83519162
Tom Cairney,SCO,MF,Fulham,Premier League,29,43.83275332
Thomas Partey,GHA,MF,Arsenal,Premier League,27,43.82591078
Marley Aké,FRA,FW,Marseille,Ligue 1,19,43.81787384
James Milner,ENG,MFDF,Liverpool,Premier League,34,43.81741284
Dara O'Shea,IRL,DF,West Brom,Premier League,21,43.8127817
Maxime Poundjé,FRA,DF,Bordeaux,Ligue 1,27,43.76710482
Curtis Jones,ENG,MF,Liverpool,Premier League,19,43.75057156
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,43.69536875
Antonio Rüdiger,GER,DF,Chelsea,Premier League,27,43.64122872
Okay Yokuşlu,TUR,MF,Celta Vigo,La Liga,26,43.63510312
Denis Drăguș,ROU,FWMF,Crotone,Seria A,21,43.62243797
Tom Davies,ENG,MF,Everton,Premier League,22,43.58647325
Giovanni Simeone,ARG,FW,Cagliari,Seria A,25,43.55706333
Shinji Okazaki,JPN,FWMF,Huesca,La Liga,34,43.55149515
Sava Cestic,SRB,DF,Köln,Bundesliga,19,43.54330598
Alexander Djiku,GHA,DFMF,Strasbourg,Ligue 1,25,43.53114841
Timothy Fosu-Mensah,NED,DF,Leverkusen,Bundesliga,22,43.48541073
Emmanuel Dennis,NGA,FW,Köln,Bundesliga,22,43.44533971
Šime Vrsaljko,CRO,DF,Atlético Madrid,La Liga,28,43.44096712
Felix Passlack,GER,DF,Dortmund,Bundesliga,22,43.42682526
Saidou Sow,GUI,DF,Saint-Étienne,Ligue 1,18,43.28885207
DeAndre Yedlin,USA,DF,Newcastle Utd,Premier League,27,43.28235107
Guus Til,NED,FW,Freiburg,Bundesliga,22,43.26789004
Alex Sandro,BRA,DF,Juventus,Seria A,29,43.16438353
Alexis Trouillet,FRA,MF,Nice,Ligue 1,19,43.13604305
Josema,ESP,DF,Elche,La Liga,24,43.10801375
Akaki Gogia,GER,FWMF,Union Berlin,Bundesliga,28,43.0683155
Joaquín Muñoz,ESP,FW,Huesca,La Liga,21,43.02908023
Alfon,ESP,MF,Celta Vigo,La Liga,21,43.01082471
José Fontán,ESP,DF,Celta Vigo,La Liga,20,43.00855503
Eugeni Valderrama,ESP,FWMF,Huesca,La Liga,26,43.007976
Charlie Austin,ENG,FW,West Brom,Premier League,31,43.00068772
Álex Berenguer,ESP,MF,Torino,Seria A,25,42.99298289
Pedro Mendes,POR,DF,Montpellier,Ligue 1,29,42.98795654
Jaume Costa,ESP,DFMF,Villarreal,La Liga,32,42.96149195
Josh Maja,NGA,FW,Bordeaux,Ligue 1,21,42.9526714
Raphael Framberger,GER,DF,Augsburg,Bundesliga,24,42.94786682
Vittorio Parigini,ITA,FWDF,Genoa,Seria A,24,42.88911487
Omenuke Mfulu,COD,MF,Elche,La Liga,26,42.87212852
Kelyan Guessoum,FRA,DF,Nîmes,Ligue 1,21,42.87104675
Marc Bartra,ESP,DF,Betis,La Liga,29,42.83724202
Fredrik Jensen,FIN,FWMF,Augsburg,Bundesliga,22,42.77621211
Iyenoma Udogie,ITA,DFMF,Hellas Verona,Seria A,17,42.74174208
Sam Field,ENG,MF,West Brom,Premier League,22,42.70864638
Thomas Fontaine,MAD,DF,Lorient,Ligue 1,29,42.70688785
Luca Mora,ITA,MFFW,Spezia,Seria A,32,42.66804381
Jeremie Frimpong,NED,DFFW,Leverkusen,Bundesliga,19,42.65144204
Diego Llorente,ESP,DF,Leeds United,Premier League,26,42.64760075
Baptiste Santamaria,FRA,MF,Angers,Ligue 1,25,42.64684664
Andriy Yarmolenko,UKR,FWMF,West Ham,Premier League,30,42.63570448
Alberto Moreno,ESP,DF,Villarreal,La Liga,28,42.62633182
Federico Ceccherini,ITA,DF,Fiorentina,Seria A,28,42.61724214
Josh Benson,ENG,MF,Burnley,Premier League,20,42.5320411
Remo Freuler,SUI,MF,Atalanta,Seria A,28,42.50708304
Pedro Bigas,ESP,DF,Eibar,La Liga,29,42.48765089
Ahmed Elmohamady,EGY,DF,Aston Villa,Premier League,32,42.48634597
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,25,42.4422629
Hidde ter Avest,NED,DF,Udinese,Seria A,23,42.43630832
Youssef Maziz,FRA,MFFW,Metz,Ligue 1,22,42.41345817
Fabrizio Caligara,ITA,MF,Cagliari,Seria A,20,42.39047648
Lilian Brassier,FRA,DF,Brest,Ligue 1,20,42.38027681
Berat Djimsiti,ALB,DF,Atalanta,Seria A,27,42.3675083
Kevin Bonifazi,ITA,DF,Udinese,Seria A,24,42.31726168
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,42.31100278
Gonzalo Villar,ESP,MF,Roma,Seria A,22,42.24371376
Jean-Victor Makengo,FRA,MF,Udinese,Seria A,22,42.23166352
Juan Manuel Ramos,URU,DF,Spezia,Seria A,23,42.19488258
Blendi Idrizi,KVX,MF,Schalke 04,Bundesliga,22,42.16210066
Alessandro Bastoni,ITA,DF,Inter,Seria A,21,42.15863591
Anthony Caci,FRA,DF,Strasbourg,Ligue 1,23,42.08126469
Tomás Pina Isla,ESP,MF,Alavés,La Liga,32,42.0600302
Giuseppe Caso,ITA,MF,Genoa,Seria A,21,42.03432654
Wesley Fofana,FRA,DF,Leicester City,Premier League,19,42.01825201
Granit Xhaka,SUI,MFDF,Arsenal,Premier League,27,41.98086005
Lucas Hernández,FRA,DF,Bayern Munich,Bundesliga,24,41.96325733
Leonardo Bonucci,ITA,DF,Juventus,Seria A,33,41.95564282
Stefan Mitrović,SRB,DF,Strasbourg,Ligue 1,30,41.95544125
Fernando Niño,ESP,FW,Villarreal,La Liga,19,41.95228084
Davide Santon,ITA,DF,Roma,Seria A,29,41.94204878
Jack Robinson,ENG,DF,Sheffield Utd,Premier League,26,41.92994317
Mbaye Diagne,SEN,FW,West Brom,Premier League,28,41.88291817
İlkay Gündoğan,GER,MF,Manchester City,Premier League,29,41.82986935
Reece James,ENG,DF,Chelsea,Premier League,20,41.82566631
Nicolas Nkoulou,CMR,DF,Torino,Seria A,30,41.75509121
Dani Calvo,ESP,DF,Elche,La Liga,26,41.72623832
Jules Koundé,FRA,DF,Sevilla,La Liga,21,41.72111617
Dominique Heintz,GER,DF,Freiburg,Bundesliga,26,41.70000772
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,41.68831421
Ibai Gómez,ESP,MF,Athletic Club,La Liga,30,41.67335943
Carlos Gruezo,ECU,MF,Augsburg,Bundesliga,25,41.65559838
Youssouf Koné,MLI,DFFW,Elche,La Liga,25,41.62366318
Alessio Romagnoli,ITA,DF,Milan,Seria A,25,41.60555249
Kelechi Nwakali,NGA,MFFW,Huesca,La Liga,22,41.58772304
Arthur Zagre,FRA,DFMF,Dijon,Ligue 1,18,41.54171487
Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,25,41.50167182
Unai Vencedor Paris,ESP,MF,Athletic Club,La Liga,19,41.49089302
Scott Dann,ENG,DF,Crystal Palace,Premier League,33,41.48930012
Franklin Wadja,CMR,MFFW,Lorient,Ligue 1,25,41.46618072
Jacopo Sala,ITA,DF,Spezia,Seria A,28,41.44272547
Nino,ESP,MFFW,Elche,La Liga,40,41.421084
Benjamin Henrichs,GER,DFMF,RB Leipzig,Bundesliga,23,41.3594688
Simone Edera,ITA,DFMF,Torino,Seria A,23,41.33484083
Branislav Ivanović,SRB,DF,West Brom,Premier League,36,41.29474044
Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,17,41.28404987
Tim Ream,USA,DF,Fulham,Premier League,32,41.27842986
Maxence Caqueret,FRA,MF,Lyon,Ligue 1,20,41.26147176
Vladimir Golemić,SVN,DF,Crotone,Seria A,29,41.1946278
Patrick Cutrone,ITA,FW,Wolves,Premier League,22,41.16440958
James McArthur,SCO,MF,Crystal Palace,Premier League,32,41.15024299
Amir Rrahmani,KVX,DF,Napoli,Seria A,26,41.1303134
Florentino Luís,POR,MF,Monaco,Ligue 1,20,41.08447234
Diego Godín,URU,DF,Cagliari,Seria A,34,41.06087462
Andrea Pinamonti,ITA,FW,Inter,Seria A,21,41.0608636
Elseid Hysaj,ALB,DF,Napoli,Seria A,26,41.05624715
Juan Bernat,ESP,DF,Paris S-G,Ligue 1,27,41.0035001
Ragnar Ache,GER,FWDF,Eint Frankfurt,Bundesliga,22,41.00171189
Lorenzo Tonelli,ITA,DF,Sampdoria,Seria A,30,40.98925691
Johan Mojica,COL,DF,Elche,La Liga,27,40.97810067
Kieran Gibbs,ENG,DF,West Brom,Premier League,30,40.88599066
Julian Chabot,GER,DF,Spezia,Seria A,22,40.87398035
Julian Baumgartlinger,AUT,MF,Leverkusen,Bundesliga,32,40.85694124
Ragnar Klavan,EST,DF,Cagliari,Seria A,34,40.84293533
Okay Yokuşlu,TUR,MF,West Brom,Premier League,26,40.79676445
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,23,40.77895053
Rober Correa,ESP,DF,Eibar,La Liga,27,40.7164635
Hamari Traoré,MLI,DF,Rennes,Ligue 1,28,40.71359431
Paul Akouokou,CIV,MF,Betis,La Liga,22,40.70617317
Kevin Strootman,NED,MF,Genoa,Seria A,30,40.6222407
Andrea Poli,ITA,MF,Bologna,Seria A,30,40.61648798
Morgan Sanson,FRA,MF,Marseille,Ligue 1,25,40.52538861
Sven Bender,GER,DF,Leverkusen,Bundesliga,31,40.52299436
Diego González,ESP,DF,Elche,La Liga,25,40.51210795
Esteban Burgos,ARG,DF,Eibar,La Liga,28,40.42177747
Ramiro Funes Mori,ARG,DF,Villarreal,La Liga,29,40.42019973
Marash Kumbulla,ALB,DF,Roma,Seria A,20,40.24067186
Jake Livermore,ENG,MF,West Brom,Premier League,30,40.18592891
Guillem Molina,ESP,DF,Valencia,La Liga,20,40.17425303
Yerry Mina,COL,DF,Everton,Premier League,25,40.02800987
Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,20,40.02130795
Dani Carvajal,ESP,DF,Real Madrid,La Liga,28,40.00408181
Ardian Ismajli,ALB,DF,Spezia,Seria A,23,39.98858942
Luka Modrić,CRO,MF,Real Madrid,La Liga,34,39.9829266
Cesc Fàbregas,ESP,MF,Monaco,Ligue 1,33,39.97992253
Reinildo Mandava,MOZ,DF,Lille,Ligue 1,26,39.97759752
Joaquín Fernández,ESP,DF,Valladolid,La Liga,24,39.96791108
Nemanja Radoja,SRB,MF,Levante,La Liga,27,39.90083778
Nabil Bentaleb,ALG,MF,Schalke 04,Bundesliga,25,39.87306178
Loïc Bade,FRA,DF,Lens,Ligue 1,20,39.84556043
Matija Nastasić,SRB,DF,Schalke 04,Bundesliga,27,39.82375884
Benjamin Pavard,FRA,DF,Bayern Munich,Bundesliga,24,39.76163183
Jeison Lucumí,COL,FWMF,Elche,La Liga,25,39.74311907
Renato Sanches,POR,MF,Lille,Ligue 1,22,39.69213733
Dan Nlundulu,ENG,FW,Southampton,Premier League,21,39.68883188
César Azpilicueta,ESP,DF,Chelsea,Premier League,30,39.60407878
Kevin Stöger,AUT,MFFW,Mainz 05,Bundesliga,26,39.54380842
Daniel Ginczek,GER,FWMF,Wolfsburg,Bundesliga,29,39.49580345
Romain Philippoteaux,FRA,FW,Nîmes,Ligue 1,32,39.48668328
Mário Rui,POR,DF,Napoli,Seria A,29,39.4297119
Issa Diop,FRA,DF,West Ham,Premier League,23,39.40076981
Fernando Marçal,BRA,DF,Wolves,Premier League,31,39.38089245
Angelo Ogbonna,ITA,DF,West Ham,Premier League,32,39.37181514
Dani Ceballos,ESP,MF,Arsenal,Premier League,23,39.35541904
Kurt Zouma,FRA,DF,Chelsea,Premier League,25,39.34289077
Lucas Torreira,URU,MFFW,Atlético Madrid,La Liga,24,39.32880997
Ibrahima Konaté,FRA,DF,RB Leipzig,Bundesliga,21,39.25207164
Bastos,ANG,DF,Lazio,Seria A,29,39.22662919
Sylvain Marveaux,FRA,MFFW,Lorient,Ligue 1,34,39.22054459
Kasper Schmeichel,DEN,GK,Leicester City,Premier League,33,39.21981655
Iván Marcone,ARG,MF,Elche,La Liga,30,39.17624559
Willian José,BRA,FW,Real Sociedad,La Liga,28,39.17250457
Calum Chambers,ENG,DF,Arsenal,Premier League,25,39.17062223
Jacob Bruun Larsen,DEN,FW,Hoffenheim,Bundesliga,21,39.15481531
Joël Matip,CMR,DF,Liverpool,Premier League,28,39.12363266
Aaron Connolly,IRL,FW,Brighton,Premier League,20,39.085954
Filip Malbašić,SRB,FWMF,Cádiz,La Liga,27,38.98256233
Sven Botman,NED,DF,Lille,Ligue 1,20,38.94512386
Antoine Valerio,FRA,MF,Nîmes,Ligue 1,20,38.93407906
Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,38.90889672
Nils Seufert,GER,MFFW,Arminia,Bundesliga,23,38.77951732
Cristiano Piccini,ITA,DF,Atalanta,Seria A,27,38.75762415
Adama Soumaoro,FRA,DF,Bologna,Seria A,28,38.75568026
Ozan Kabak,TUR,DF,Liverpool,Premier League,20,38.73715563
Fabinho,BRA,DFMF,Liverpool,Premier League,26,38.72665506
Ilaix,ESP,MF,Barcelona,La Liga,17,38.7187239
Sébastien Cibois,FRA,GK,Brest,Ligue 1,22,38.66734801
Mattia Bani,ITA,DF,Genoa,Seria A,26,38.63487228
Bruno Guimarães,BRA,MF,Lyon,Ligue 1,22,38.62008227
Lars Bender,GER,DF,Leverkusen,Bundesliga,31,38.55227099
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28,38.53670852
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,29,38.52773715
Kortney Hause,ENG,DF,Aston Villa,Premier League,25,38.50679875
Koray Günter,GER,DF,Hellas Verona,Seria A,25,38.46364489
Willy Boly,CIV,DF,Wolves,Premier League,29,38.36613674
Bandiougou Fadiga,FRA,FWMF,Paris S-G,Ligue 1,19,38.35619658
Fernandinho,BRA,MF,Manchester City,Premier League,35,38.34649969
Gabriele Moncini,ITA,FW,Benevento,Seria A,24,38.32255761
Joe Bryan,ENG,DFFW,Fulham,Premier League,26,38.31052764
Djené,TOG,DF,Getafe,La Liga,28,38.30284285
Masaya Okugawa,JPN,MFFW,Arminia,Bundesliga,24,38.11185089
Andrew Robertson,SCO,DF,Liverpool,Premier League,26,38.03770582
Willi Orban,HUN,DF,RB Leipzig,Bundesliga,27,38.00710202
Pascal Stenzel,GER,DF,Stuttgart,Bundesliga,24,37.92534092
Yun Il-lok,KOR,MFFW,Montpellier,Ligue 1,28,37.87722237
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,37.8697811
Ibrahima Diallo,FRA,MF,Brest,Ligue 1,21,37.83960747
Davy Klaassen,NED,MF,Werder Bremen,Bundesliga,27,37.79209938
Loïck Landre,FRA,DF,Nîmes,Ligue 1,28,37.7735876
José Luis Palomino,ARG,DF,Atalanta,Seria A,30,37.72822309
Germán Sánchez,ESP,DF,Granada,La Liga,33,37.7221476
Ștefan Radu,ROU,DF,Lazio,Seria A,33,37.51052809
Nemanja Gudelj,SRB,MFDF,Sevilla,La Liga,28,37.44991287
Boubakary Soumaré,FRA,MF,Lille,Ligue 1,21,37.44717752
Pierre Kalulu,FRA,DF,Milan,Seria A,20,37.43583134
Lamine Koné,CIV,DF,Strasbourg,Ligue 1,31,37.37703057
Carlos Vinícius,BRA,FW,Tottenham,Premier League,25,37.35929997
Giuseppe Di Serio,ITA,FWMF,Benevento,Seria A,19,37.32397588
Patric,ESP,DF,Lazio,Seria A,27,37.30205346
Dalbert Henrique,BRA,DF,Rennes,Ligue 1,26,37.19191772
Jonathan Gradit,FRA,DF,Lens,Ligue 1,27,37.17727322
Jacques Siwe,FRA,FW,Dijon,Ligue 1,19,37.14198301
Hamza Choudhury,ENG,MF,Leicester City,Premier League,22,37.13989898
Kasim Nuhu,GHA,DF,Hoffenheim,Bundesliga,25,37.04833203
Jens Jønsson,DEN,MF,Cádiz,La Liga,27,37.04652194
Niklas Moisander,FIN,DF,Werder Bremen,Bundesliga,34,37.01169474
Daniel Parejo,ESP,MF,Villarreal,La Liga,31,37.0074306
Bas Dost,NED,FW,Eint Frankfurt,Bundesliga,31,36.98209461
Anthony Modeste,FRA,FWMF,Köln,Bundesliga,32,36.95193183
Duje Ćaleta-Car,CRO,DF,Marseille,Ligue 1,23,36.94171109
William Carvalho,POR,MF,Betis,La Liga,28,36.91365837
Ahmed Kutucu,TUR,FWMF,Schalke 04,Bundesliga,20,36.80712936
João Cancelo,POR,DF,Manchester City,Premier League,26,36.76210313
Simon Kjær,DEN,DF,Milan,Seria A,31,36.74651472
Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,36.6690818
Antonino La Gumina,ITA,FW,Sampdoria,Seria A,24,36.62180343
Marcelo Brozović,CRO,MF,Inter,Seria A,27,36.61860289
Idrissa Doumbia,CIV,MF,Huesca,La Liga,22,36.60499152
Luca Cigarini,ITA,MF,Crotone,Seria A,34,36.54733339
Kostas Manolas,GRE,DF,Napoli,Seria A,29,36.53276909
Gabriel Silva,BRA,DF,Saint-Étienne,Ligue 1,29,36.47085551
Wesley Hoedt,NED,DF,Lazio,Seria A,26,36.4533864
Daniele Rugani,ITA,DF,Rennes,Ligue 1,26,36.42236793
Dion Lopy,SEN,MF,Reims,Ligue 1,18,36.39528319
Felipe,BRA,DF,Atlético Madrid,La Liga,31,36.21420064
Marcos Mauro López Gutiérrez,ARG,DF,Cádiz,La Liga,29,36.20200473
Jonny Evans,NIR,DF,Leicester City,Premier League,32,36.16696467
John Egan,IRL,DF,Sheffield Utd,Premier League,27,36.14834615
Thibault De Smet,BEL,DF,Reims,Ligue 1,22,36.13204716
Yan Valery,FRA,DFMF,Southampton,Premier League,21,36.10069406
Isco,ESP,MFFW,Real Madrid,La Liga,28,35.87765678
Max Meyer,GER,MF,Köln,Bundesliga,24,35.87646064
Álex Cantero,ESP,FW,Levante,La Liga,20,35.84213688
Joshua Zirkzee,NED,FWMF,Parma,Seria A,19,35.82175836
Liam Cooper,SCO,DF,Leeds United,Premier League,28,35.70942137
Sergio Herrera,ESP,GK,Osasuna,La Liga,27,35.66577349
Sebastien De Maio,FRA,DF,Udinese,Seria A,33,35.62260179
Jordi Alba,ESP,DF,Barcelona,La Liga,31,35.5674694
Diego Carlos,BRA,DF,Sevilla,La Liga,27,35.43712832
Daley Sinkgraven,NED,DF,Leverkusen,Bundesliga,25,35.38716691
Japhet Tanganga,ENG,DF,Tottenham,Premier League,21,35.30716346
Jérôme Boateng,GER,DF,Bayern Munich,Bundesliga,31,35.26263135
Ander Guevara,ESP,MF,Real Sociedad,La Liga,23,35.21512445
Óscar Mingueza,ESP,DF,Barcelona,La Liga,21,35.06721937
Ezequiel Ávila,ARG,MFFW,Osasuna,La Liga,26,34.95648533
Eric Bailly,CIV,DF,Manchester Utd,Premier League,26,34.95458817
Ross Barkley,ENG,MF,Chelsea,Premier League,26,34.94746661
Ismaël Bennacer,ALG,MF,Milan,Seria A,22,34.94503708
Rodrigo Ely,BRA,DF,Alavés,La Liga,26,34.87603974
Fali,ESP,DFMF,Cádiz,La Liga,26,34.85989254
Andrea Ranocchia,ITA,DF,Inter,Seria A,32,34.84385908
Thomas Meunier,BEL,DF,Dortmund,Bundesliga,28,34.76690947
Álvaro Giménez,ESP,FWMF,Cádiz,La Liga,29,34.72877663
Iñigo Córdoba,ESP,FWMF,Athletic Club,La Liga,23,34.71412787
Robin Koch,GER,DFMF,Leeds United,Premier League,24,34.6142072
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,34.5955422
Sebastian Rode,GER,MF,Eint Frankfurt,Bundesliga,29,34.58581958
Alessandro Deiola,ITA,MF,Spezia,Seria A,24,34.51802996
Damien Le Tallec,FRA,MFDF,Montpellier,Ligue 1,30,34.48374171
Rafinha,BRA,MF,Paris S-G,Ligue 1,27,34.45148667
Erick Cabaco,URU,DF,Getafe,La Liga,25,34.42069991
Renaud Emond,BEL,FWMF,Nantes,Ligue 1,28,34.39015775
Andrey Galabinov,BUL,FW,Spezia,Seria A,31,34.36477546
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,26,34.31880025
Steffen Tigges,GER,FWDF,Dortmund,Bundesliga,22,34.31478857
Anastasios Donis,GRE,MF,Reims,Ligue 1,23,34.30055251
Oscar Wendt,SWE,DF,M'Gladbach,Bundesliga,34,34.29986606
Petar Škuletić,SRB,FWMF,Montpellier,Ligue 1,30,34.25816933
Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,34.15268419
Raúl García,ESP,FWMF,Athletic Club,La Liga,34,34.14668953
Mexer,MOZ,DF,Bordeaux,Ligue 1,31,34.13495844
Jorge Miramón,ESP,DF,Levante,La Liga,31,34.10246439
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,34.0302198
Niklas Süle,GER,DF,Bayern Munich,Bundesliga,24,33.93069775
Sidy Sarr,SEN,MF,Nîmes,Ligue 1,24,33.8303952
Damien Da Silva,FRA,DF,Rennes,Ligue 1,32,33.82126701
Merih Demiral,TUR,DF,Juventus,Seria A,22,33.72298664
Chema,ESP,DFMF,Getafe,La Liga,28,33.70218782
Fabio Depaoli,ITA,MF,Sampdoria,Seria A,23,33.68963806
Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,33.62796221
Tiago Djaló,POR,DF,Lille,Ligue 1,20,33.58548728
Víctor Rodríguez,ESP,MF,Elche,La Liga,31,33.57583045
Pablo,BRA,DF,Bordeaux,Ligue 1,29,33.54202681
Thilo Kehrer,GER,DF,Paris S-G,Ligue 1,23,33.52553347
Chris Richards,USA,DF,Hoffenheim,Bundesliga,20,33.50845392
John Boye,GHA,DF,Metz,Ligue 1,33,33.47927315
Vlad Chiricheș,ROU,DF,Sassuolo,Seria A,30,33.43251995
Stefan de Vrij,NED,DF,Inter,Seria A,28,33.43015848
Noah Joel Sarenren Bazee,NGA,FWMF,Augsburg,Bundesliga,23,33.38479453
Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,29,33.31581372
Laurent Koscielny,FRA,DF,Bordeaux,Ligue 1,34,33.30754915
Ľubomír Tupta,SVK,MF,Hellas Verona,Seria A,22,33.23775917
Karim Rekik,NED,DF,Sevilla,La Liga,25,33.21509976
Mouhamadou Drammeh,FRA,MF,Reims,Ligue 1,21,33.17379706
Rabbi Matondo,WAL,FWMF,Schalke 04,Bundesliga,19,33.13556476
Vicente Iborra,ESP,MF,Villarreal,La Liga,32,33.1347609
Dilane Bakwa,FRA,FWMF,Bordeaux,Ligue 1,17,33.09288976
David Alaba,AUT,DFMF,Bayern Munich,Bundesliga,28,33.06533335
Kaan Ayhan,TUR,DF,Sassuolo,Seria A,25,32.96635472
Sofian Chakla,MAR,DF,Villarreal,La Liga,26,32.84763146
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,32.66012029
Pablo Hernández,ESP,MFFW,Leeds United,Premier League,35,32.63419562
José Fonte,POR,DF,Lille,Ligue 1,36,32.5453115
Toni Lato,ESP,DF,Valencia,La Liga,22,32.53332008
Kalidou Koulibaly,SEN,DF,Napoli,Seria A,29,32.46405402
Steeve-Mike Ebongue,FRA,MF,Genoa,Seria A,19,32.42285372
Juan Foyth,ARG,DFMF,Villarreal,La Liga,22,32.37649595
Léo Sena,BRA,MF,Spezia,Seria A,24,32.33136694
Mario Mandžukić,CRO,FW,Milan,Seria A,34,32.25371449
Dayot Upamecano,FRA,DF,RB Leipzig,Bundesliga,21,32.17929299
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,19,32.16758592
Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,25,32.11894594
Cristiano Piccini,ITA,DF,Valencia,La Liga,27,32.11727392
Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,24,32.10466805
Rúben Dias,POR,DF,Manchester City,Premier League,23,32.08606034
Álvaro González,ESP,DF,Marseille,Ligue 1,30,32.07773414
José Ángel,ESP,DF,Eibar,La Liga,30,31.81294184
Damian Kądzior,POL,FWMF,Eibar,La Liga,28,31.77614274
Noah Fatar,FRA,FWMF,Angers,Ligue 1,18,31.70328192
Jonas Martin,FRA,MF,Rennes,Ligue 1,30,31.6680931
Alkhaly Momo Cissé,GUI,DFFW,Stuttgart,Bundesliga,17,31.64459275
Jean-Clair Todibo,FRA,DF,Nice,Ligue 1,20,31.60139256
Samuel Di Carmine,ITA,FW,Hellas Verona,Seria A,31,31.57939711
Yvann Macon,FRA,DF,Saint-Étienne,Ligue 1,21,31.57393918
Axel Disasi,FRA,DF,Monaco,Ligue 1,22,31.56390572
Roberto Inglese,ITA,FW,Parma,Seria A,28,31.54967202
Jason Denayer,BEL,DF,Lyon,Ligue 1,25,31.53493884
Marcelo,BRA,DF,Real Madrid,La Liga,32,31.53322046
Andreas Christensen,DEN,DF,Chelsea,Premier League,24,31.52029717
Gian Marco Ferrari,ITA,DF,Sassuolo,Seria A,28,31.49886132
William Saliba,FRA,DF,Nice,Ligue 1,19,31.48103328
Alan Empereur,BRA,DF,Hellas Verona,Seria A,26,31.45940838
Stanley N'Soki,FRA,DF,Nice,Ligue 1,21,31.45898162
Loïc Bessile,TOG,DF,Bordeaux,Ligue 1,21,31.43847945
Chris Smalling,ENG,DF,Roma,Seria A,30,31.36616796
Germán Pezzella,ARG,DF,Fiorentina,Seria A,29,31.29071678
Gaetano Berardi,SUI,DF,Leeds United,Premier League,31,31.23925757
Giacomo Ricci,ITA,DF,Parma,Seria A,23,31.20577931
Emre Can,GER,DFMF,Dortmund,Bundesliga,26,31.19289136
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,31.14542862
Niall Huggins,WAL,DF,Leeds United,Premier League,19,31.1425988
Douglas Costa,BRA,FWMF,Bayern Munich,Bundesliga,29,31.12375591
Brandon Williams,ENG,DF,Manchester Utd,Premier League,19,31.10658595
Nemanja Matić,SRB,MF,Manchester Utd,Premier League,31,31.09969013
Jayden Braaf,NED,FW,Udinese,Seria A,17,31.09292852
Christian Pastina,ITA,DF,Benevento,Seria A,19,31.08975983
Philipp Bargfrede,GER,MF,Werder Bremen,Bundesliga,31,31.08594556
Djavan Anderson,NED,DF,Lazio,Seria A,25,31.0816309
Tuta,BRA,DF,Eint Frankfurt,Bundesliga,21,31.06211927
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,30,31.05368683
Rubén Sobrino,ESP,MFFW,Valencia,La Liga,28,31.05297903
Pablo Martinez,FRA,DF,Nîmes,Ligue 1,31,31.01536185
Rayan Philippe,FRA,FW,Dijon,Ligue 1,19,30.99171861
Rubén Pardo,ESP,MFFW,Bordeaux,Ligue 1,27,30.97832442
Burgui,ESP,MF,Alavés,La Liga,26,30.93314833
Stefan Ortega,GER,GK,Arminia,Bundesliga,27,30.88977789
Mickaël Cuisance,FRA,MF,Marseille,Ligue 1,20,30.87403672
Neco Williams,WAL,DF,Liverpool,Premier League,19,30.85427707
Enzo Ebosse,FRA,DF,Angers,Ligue 1,21,30.84272779
Gastón Silva,URU,DF,Huesca,La Liga,26,30.78885205
Joan Jordán,ESP,MF,Sevilla,La Liga,26,30.74311442
Bernardo,BRA,DFMF,Brighton,Premier League,25,30.72704279
Jean Seri,CIV,MF,Bordeaux,Ligue 1,29,30.71673146
Raphaël Guerreiro,POR,DF,Dortmund,Bundesliga,26,30.64568146
Frenkie de Jong,NED,MFDF,Barcelona,La Liga,23,30.54617577
Samy Benchama,FRA,MFDF,Montpellier,Ligue 1,20,30.53644337
