Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Gylfi Sigurðsson,ISL,MF,Everton,Premier League,30,69.92801969
Alfonso Espino,URU,DF,Cádiz,La Liga,28,69.91375896
Marco Richter,GER,FWMF,Augsburg,Bundesliga,22,69.89754163
Roland Sallai,HUN,MFFW,Freiburg,Bundesliga,23,69.86424549
Cédric Soares,POR,DF,Arsenal,Premier League,28,69.85152408
Tanguy Coulibaly,FRA,DFFW,Stuttgart,Bundesliga,19,69.79862586
Pere Pons,ESP,MF,Alavés,La Liga,27,69.79037902
Abdoulaye Doucouré,FRA,MF,Everton,Premier League,27,69.78100597
Maximilian Eggestein,GER,MF,Werder Bremen,Bundesliga,23,69.75681895
Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28,69.75650318
Carlos Clerc,ESP,DF,Levante,La Liga,28,69.74006114
Kyle Walker-Peters,ENG,DF,Southampton,Premier League,23,69.73831631
Cristiano Biraghi,ITA,DF,Fiorentina,Seria A,27,69.72972415
Cucho,COL,FWMF,Getafe,La Liga,21,69.72952429
Sergio Agüero,ARG,FWMF,Manchester City,Premier League,32,69.72727135
Jon Morcillo,ESP,MFFW,Athletic Club,La Liga,21,69.70322624
Alexander Sørloth,NOR,FW,RB Leipzig,Bundesliga,24,69.69842083
Federico Barba,ITA,DF,Benevento,Seria A,26,69.6796537
Bartosz Bereszyński,POL,DF,Sampdoria,Seria A,28,69.67825368
João Pedro,BRA,FWMF,Cagliari,Seria A,28,69.65528876
Jóhann Berg Guðmundsson,ISL,MF,Burnley,Premier League,29,69.60391637
Robert Skov,DEN,FWDF,Hoffenheim,Bundesliga,24,69.59825334
Nicolas Höfler,GER,MF,Freiburg,Bundesliga,30,69.5705143
Tommaso Augello,ITA,DF,Sampdoria,Seria A,25,69.55583307
Stephy Mavididi,ENG,FWMF,Montpellier,Ligue 1,22,69.54333406
Gonçalo Guedes,POR,MFFW,Valencia,La Liga,23,69.53388275
Valentin Mihaila,ROU,FWMF,Parma,Seria A,20,69.52545981
